id_empleado,departamento,score_rendimiento
E392,Ventas,65
E393,Ingeniería,90
E394,Finanzas,95
E395,Marketing,87
E396,Ingeniería,99
E397,Ingeniería,85
E398,Marketing,63
E399,Marketing,64
E400,Finanzas,91
E401,Ingeniería,85
E402,Finanzas,87
E403,Recursos Humanos,72
E404,Marketing,90
E405,Finanzas,81
E406,Finanzas,68
E407,Marketing,79
E408,Marketing,94
E409,Recursos Humanos,82
E410,Ingeniería,65
E411,Ingeniería,72
E412,Ventas,86
E413,Soporte,72
E414,Finanzas,61
E415,Marketing,83
E416,Marketing,97
E417,Soporte,78
E418,Ventas,73
E419,Marketing,80
E420,Soporte,95
E421,Marketing,67
E422,Soporte,96
E423,Marketing,99
E424,Soporte,67
E425,Soporte,100
E426,Marketing,64
E427,Recursos Humanos,78
E428,Finanzas,62
E429,Ventas,61
E430,Finanzas,67
E431,Finanzas,65
E432,Marketing,97
E433,Recursos Humanos,94
E434,Marketing,64
E435,Recursos Humanos,97
E436,Marketing,75
E437,Recursos Humanos,64
E438,Ingeniería,95
E439,Ingeniería,70
E440,Soporte,96
E441,Ventas,92
E442,Finanzas,78
E443,Ingeniería,61
E444,Marketing,76
E445,Soporte,89
E446,Finanzas,62
E447,Recursos Humanos,72
E448,Marketing,67
E449,Recursos Humanos,82
E450,Marketing,84
E451,Soporte,65
E452,Marketing,75
E453,Finanzas,68
E454,Marketing,91
E455,Soporte,68
E456,Ventas,90
E457,Marketing,95
E458,Marketing,74
E459,Recursos Humanos,92
E460,Finanzas,68
E461,Ingeniería,98
E462,Finanzas,64
E463,Soporte,84
E464,Ingeniería,97
E465,Soporte,72
E466,Finanzas,97
E467,Ingeniería,79
E468,Finanzas,99
E469,Soporte,62
E470,Finanzas,75
E471,Recursos Humanos,91
E472,Marketing,65
E473,Finanzas,96
E474,Soporte,93
E475,Ingeniería,89
E476,Recursos Humanos,78
E477,Finanzas,70
E478,Soporte,100
E479,Ingeniería,64
E480,Finanzas,94
E481,Ventas,65
E482,Ingeniería,96
E483,Ingeniería,100
E484,Finanzas,62
E485,Finanzas,65
E486,Ventas,70
E487,Ingeniería,77
E488,Marketing,82
E489,Ventas,63
E490,Finanzas,73
E491,Recursos Humanos,64
E492,Finanzas,75
E493,Finanzas,65
E494,Finanzas,60
E495,Recursos Humanos,91
E496,Soporte,62
E497,Recursos Humanos,76
E498,Ingeniería,78
E499,Recursos Humanos,86
E500,Soporte,84
